title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3
Seven Brides for Seven Brothers,1954,47472.0,1351,3,7.3,27185.0,102,Musical,Romance,Western
Shichinin no samurai,1954,47478.0,3600,0,8.6,367756.0,207,Action,Drama,
Silver Lode,1954,47495.0,11187,2,6.8,2312.0,81,Western,,
Them!,1954,47573.0,2158,1,7.2,24262.0,94,Horror,Sci-Fi,
Three Coins in the Fountain,1954,47580.0,4048,3,6.2,3773.0,102,Drama,Romance,
Touchez pas au grisbi,1954,46451.0,657,1,7.7,8576.0,96,Crime,Drama,
Uwasa no onna,1954,47638.0,7580,3,7.4,1410.0,83,Drama,Romance,
White Christmas,1954,47673.0,1391,3,7.6,51188.0,120,Comedy,Musical,Romance
All That Heaven Allows,1955,47811.0,10342,3,7.6,16737.0,89,Drama,Romance,
Bad Day at Black Rock,1955,47849.0,10527,0,7.7,24323.0,81,Crime,Drama,Mystery
"Big Combo, The",1955,47878.0,3339,2,7.3,8657.0,87,Crime,Drama,Film-Noir
Bride of the Monster,1955,47898.0,4073,3,4.1,7661.0,69,Horror,Sci-Fi,
Daddy Long Legs,1955,47969.0,1693,3,6.7,4299.0,126,Musical,Romance,
"Dam Busters, The",1955,46889.0,2552,1,7.4,11414.0,105,Drama,History,War
Diabolique,1955,46911.0,2344,3,8.1,69515.0,117,Crime,Drama,Horror
"Fast and the Furious, The",1955,46969.0,3158,3,5.3,1623.0,73,Crime,Drama,Film-Noir
"Glass Slipper, The",1955,48124.0,6481,3,6.4,1601.0,93,Family,Fantasy,Musical
Godzilla Raids Again,1955,48127.0,6055,2,5.7,8411.0,78,Action,Sci-Fi,
Guys and Dolls,1955,48140.0,2115,3,7.1,19431.0,150,Comedy,Crime,Musical
Killer&#39;s Kiss,1955,48254.0,5403,1,6.6,26093.0,67,Crime,Drama,Film-Noir
Lady and the Tramp,1955,48280.0,1170,2,7.3,148920.0,76,Adventure,Animation,Comedy
"Ladykillers, The",1955,48281.0,1827,3,7.6,31533.0,91,Comedy,Crime,
Le amiche,1955,47821.0,10340,3,7.1,3422.0,104,Drama,Romance,
Les grandes manoeuvres,1955,48133.0,7878,3,6.7,1116.0,106,Comedy,Drama,Romance
Lola Mont&egrave;s,1955,48308.0,10354,3,7.2,6063.0,116,Biography,Drama,Romance
"Man from Laramie, The",1955,48342.0,11179,2,7.3,12043.0,103,Drama,Western,
Marty,1955,48356.0,4442,3,7.7,27140.0,90,Drama,Romance,
My Sister Eileen,1955,48401.0,6615,3,6.8,2118.0,108,Comedy,Musical,Romance
"Night of the Hunter, The",1955,48424.0,878,3,8.0,97774.0,92,Crime,Drama,Film-Noir
Not as a Stranger,1955,48432.0,8014,2,6.7,2599.0,135,Drama,Film-Noir,Romance
Oklahoma!,1955,48445.0,4754,3,7.0,14121.0,145,Comedy,Drama,Musical
Pather Panchali,1955,48473.0,5471,3,8.2,38666.0,125,Drama,,
"Prisoner, The",1955,48512.0,7262,0,6.8,1133.0,91,Drama,,
"Prodigal, The",1955,48517.0,7797,3,5.2,747.0,112,Drama,Mystery,
Rebel Without a Cause,1955,48545.0,2926,1,7.6,98167.0,111,Drama,,
Richard III,1955,49674.0,10662,3,7.4,5250.0,161,Biography,Drama,History
Rififi,1955,48021.0,3404,1,8.1,36917.0,118,Crime,Drama,Thriller
School for Love,1955,48103.0,10781,3,5.1,247.0,96,Comedy,Drama,
"Seven Year Itch, The",1955,48605.0,4896,1,7.1,42593.0,105,Comedy,Romance,
Sommarnattens leende (Smiles of a Summer Night),1955,48641.0,1735,2,7.7,14709.0,109,Comedy,Romance,
Summertime,1955,48673.0,5165,3,7.1,10044.0,100,Comedy,Drama,Romance
Tarantula,1955,48696.0,4108,0,6.4,10811.0,80,Horror,Sci-Fi,
This Island Earth,1955,47577.0,6468,0,5.9,10717.0,86,Horror,Mystery,Sci-Fi
To Catch a Thief,1955,48728.0,782,3,7.4,80009.0,106,Mystery,Romance,Thriller
"Trouble with Harry, The",1955,48750.0,7360,2,7.0,41389.0,99,Comedy,Mystery,
We&#39;re No Angels,1955,48801.0,3739,3,7.4,10801.0,106,Comedy,Crime,Romance
...And God Created Woman,1956,49189.0,3409,3,6.3,9416.0,90,Drama,Romance,
7 Men from Now,1956,49743.0,11190,1,7.4,6014.0,78,Western,,
Aparajito,1956,48956.0,5470,3,8.2,16051.0,110,Drama,,
Around the World in Eighty Days,1956,48960.0,3981,0,6.7,29774.0,175,Adventure,Comedy,Family
Autumn Leaves,1956,48967.0,10346,3,6.8,3207.0,107,Drama,,
Baby Doll,1956,48973.0,10348,3,7.3,8313.0,114,Comedy,Drama,
"Bad Seed, The",1956,48977.0,1216,3,7.4,15832.0,129,Drama,Horror,Thriller
Bigger Than Life,1956,49010.0,2904,0,7.4,8168.0,95,Drama,,
Bus Stop,1956,49038.0,4670,3,6.3,12801.0,96,Comedy,Drama,Romance
Calle mayor [Main Street],1956,49043.0,7394,3,7.7,1665.0,99,Drama,,
"Captain from Kopenick, The",1956,49293.0,9719,1,7.2,1917.0,93,Comedy,Drama,
"Court Jester, The",1956,49096.0,2730,2,7.8,13983.0,101,Adventure,Comedy,Family
Eyewitness,1956,49196.0,8398,3,6.2,342.0,82,Crime,Drama,Film-Noir
Flowing,1956,49537.0,8314,3,7.5,1193.0,117,Drama,,
Forbidden Planet,1956,49223.0,2306,0,7.5,53416.0,98,Adventure,Sci-Fi,
Gunslinger,1956,49287.0,2647,3,3.8,1822.0,83,Western,,
Her Bridal Night,1956,49483.0,10780,3,5.7,238.0,95,Comedy,Romance,
High Society,1956,49314.0,6641,3,6.9,17587.0,111,Comedy,Musical,Romance
Indestructible Man,1956,49363.0,4402,1,4.4,3167.0,72,Crime,Horror,Sci-Fi
Invasion of the Body Snatchers,1956,49366.0,2698,3,7.7,54942.0,80,Drama,Horror,Sci-Fi
"Iron Petticoat, The",1956,49369.0,1545,1,5.1,1266.0,87,Comedy,,
It Conquered the World,1956,49370.0,11091,3,4.9,2686.0,71,Horror,Sci-Fi,
"Killing, The",1956,49406.0,5414,1,7.9,97844.0,84,Crime,Drama,Film-Noir
"King and I, The",1956,49408.0,1092,2,7.4,27969.0,133,Biography,Drama,Musical
La banda degli onesti,1956,48981.0,9055,2,7.5,1600.0,106,Comedy,,
Love Me Tender,1956,49452.0,10760,2,6.2,4729.0,89,Drama,Musical,Romance
"Man Who Knew Too Much, The",1956,49470.0,7442,2,7.4,69870.0,120,Drama,Thriller,
"Man Who Never Was, The",1956,49471.0,6308,3,7.4,5804.0,103,Drama,War,
"Proud and Profane, The",1956,49640.0,4245,3,6.1,659.0,111,Drama,Romance,War
Rodan,1956,49782.0,6064,1,6.2,6024.0,74,Action,Sci-Fi,
"Searchers, The",1956,49730.0,357,3,7.8,96628.0,119,Adventure,Drama,Western
Sissi - The Young Empress,1956,49762.0,8872,3,6.6,7368.0,107,Drama,History,
"Spanish Gardener, The",1956,49787.0,1559,2,6.7,1033.0,91,Drama,,
"Ten Commandments, The",1956,49833.0,3076,2,7.9,78115.0,220,Adventure,Drama,Family
Un condamne a mort s&#39;est echappe ou Le vent souffle ou il veut,1956,49902.0,5555,0,8.2,25112.0,101,Drama,Thriller,War
"Unguarded Moment, The",1956,49904.0,8358,1,6.3,495.0,95,Crime,Drama,Film-Noir
War and Peace,1956,49934.0,2861,3,6.7,10890.0,208,Drama,Romance,War
"Wrong Man, The",1956,51207.0,2219,1,7.4,31448.0,105,Drama,Film-Noir,
Yield to the Night,1956,49019.0,10623,3,7.1,1491.0,99,Crime,Drama,
12 Angry Men,1957,50083.0,302,0,9.0,868663.0,96,Crime,Drama,
A Face in the Crowd,1957,50371.0,4552,1,8.2,17226.0,126,Drama,Music,
Amanecer en Puerta Oscura,1957,50116.0,7420,3,6.3,108.0,85,Action,Adventure,Drama
An Affair to Remember,1957,50105.0,3429,2,7.4,33159.0,115,Drama,Romance,
"Bridge on the River Kwai, The",1957,50212.0,2981,1,8.1,233827.0,161,Adventure,Drama,War
"Cranes Are Flying, The",1957,50634.0,1015,3,8.3,19852.0,95,Drama,Romance,War
Danger stalks near,1957,50421.0,9006,3,6.4,134.0,79,Comedy,,
Desk Set,1957,50307.0,993,3,7.2,9555.0,103,Comedy,Romance,
El vampiro,1957,51151.0,8321,3,6.9,1018.0,95,Horror,Mystery,Thriller
"Enemy Below, The",1957,50356.0,1989,0,7.4,12298.0,98,Action,Adventure,Drama
Fire Down Below,1957,50397.0,2420,0,6.0,1984.0,116,Adventure,Drama,Romance
Forty Guns,1957,50407.0,7136,2,7.0,6249.0,80,Western,,
Funny Face,1957,50419.0,1747,3,7.0,33138.0,103,Comedy,Musical,Romance
"Guns of Fort Petticoat, The",1957,50470.0,10594,2,6.3,1636.0,82,Action,Romance,War
"Heaven Knows, Mr. Allison",1957,50490.0,2429,0,7.3,9658.0,107,Adventure,Drama,War
"Incredible Shrinking Man, The",1957,50539.0,1291,0,7.6,20041.0,81,Horror,Sci-Fi,
Island in the Sun,1957,50549.0,8685,3,6.1,1418.0,119,Drama,Romance,
Kanal,1957,50585.0,1800,1,7.9,8056.0,91,Drama,War,
Kiss Them for Me,1957,50599.0,7017,2,5.6,2183.0,105,Comedy,Romance,
Kronos,1957,50610.0,8736,0,5.7,2065.0,78,Action,Drama,Horror
La Parisienne,1957,51133.0,10475,2,6.2,1038.0,86,Comedy,,
"Mysterians, The",1957,50251.0,6624,3,6.1,1910.0,85,Action,Sci-Fi,Thriller
Night of the Demon,1957,50766.0,2160,3,7.4,15561.0,96,Fantasy,Horror,Mystery
Nights of Cabiria,1957,50783.0,1765,3,8.1,52038.0,110,Drama,,
Oedipus Rex,1957,50792.0,3994,1,6.5,345.0,87,Drama,,
Old Yeller,1957,50798.0,1121,1,7.2,15217.0,83,Adventure,Drama,Family
Paths of Glory,1957,50825.0,1274,0,8.4,213038.0,88,Drama,War,
"Prince and the Showgirl, The",1957,50861.0,3007,3,6.4,9200.0,115,Comedy,Romance,
Sayonara,1957,50933.0,2578,2,7.0,7770.0,147,Drama,Romance,
"Seventh Seal, The",1957,50976.0,2043,1,8.1,199085.0,96,Drama,Fantasy,
Smultronst&auml;llet (Wild Strawberries),1957,50986.0,2520,2,8.1,115293.0,91,Drama,Romance,
Sorority Girl,1957,50998.0,4559,3,5.4,442.0,61,Drama,,
Sweet Smell of Success,1957,51036.0,2301,1,8.0,35801.0,96,Drama,Film-Noir,
Tammy and the Bachelor,1957,51051.0,2895,3,6.9,2736.0,89,Comedy,Romance,
Three Faces of Eve,1957,51077.0,1660,0,7.2,8797.0,91,Drama,Mystery,
Throne of Blood,1957,50613.0,7165,0,8.0,56132.0,110,Drama,,
"True Story of Jesse James, The",1957,51114.0,965,2,6.2,1707.0,92,Biography,Crime,Drama
Witness for the Prosecution,1957,51201.0,4933,1,8.4,138405.0,116,Crime,Drama,Mystery
Auntie Mame,1958,51383.0,3321,3,7.9,12740.0,143,Comedy,Drama,Romance
Blood of the Vampire,1958,51422.0,7054,0,5.5,1480.0,87,Horror,Sci-Fi,
Brink of Life,1958,52017.0,8344,3,7.3,3371.0,84,Drama,,
Cat on a Hot Tin Roof,1958,51459.0,6012,3,7.9,53526.0,108,Drama,,
"Day the Sky Exploded, The",1958,51951.0,2373,1,4.5,846.0,82,Sci-Fi,,
"Defiant Ones, The",1958,51525.0,3238,0,7.6,17954.0,96,Crime,Drama,
Dracula (Horror of Dracula),1958,51554.0,2476,3,7.2,28052.0,82,Drama,Horror,
"Fabulous World of Jules Verne, The",1958,52374.0,1247,0,7.5,2808.0,83,Adventure,Fantasy,Sci-Fi
"Female, The",1958,51608.0,10562,2,5.5,349.0,101,Drama,,
"Fly, The",1958,51622.0,2281,2,7.1,25743.0,94,Drama,Horror,Sci-Fi
Gigi,1958,51658.0,3056,2,6.6,24574.0,115,Comedy,Musical,Romance
"Hidden Fortress, The",1958,51808.0,7135,0,8.1,42395.0,126,Action,Adventure,Drama
I Bury the Living,1958,51755.0,4410,1,6.3,3206.0,77,Horror,,
I Want To Live!,1958,51758.0,8450,3,7.5,7394.0,120,Biography,Crime,Drama
Indiscreet,1958,51773.0,4211,3,6.7,10261.0,100,Comedy,Romance,
"Inn of the Sixth Happiness, The",1958,51776.0,4849,3,7.2,5439.0,158,Biography,Drama,War
It! The Terror from Beyond Space,1958,51786.0,7606,1,6.0,6293.0,69,Horror,Sci-Fi,Thriller
King Creole,1958,51818.0,10570,1,7.0,6453.0,116,Crime,Drama,Musical
Love Is My Profession,1958,51579.0,6938,3,6.7,1526.0,122,Crime,Drama,Romance
M&auml;dchen in Uniform,1958,51964.0,1572,3,7.0,1768.0,91,Drama,,
Marjorie Morningstar,1958,51911.0,10341,3,6.2,1292.0,128,Drama,Romance,
Mon Oncle,1958,50706.0,2823,3,7.7,24312.0,116,Comedy,,
"Night Heaven Fell, The",1958,50193.0,10789,3,5.5,781.0,95,Crime,Drama,Thriller
Run Silent Run Deep,1958,52151.0,1363,0,7.3,13185.0,93,Action,Drama,War
"Screaming Skull, The",1958,52169.0,2763,2,3.9,3970.0,68,Horror,Thriller,
Separate Tables,1958,52182.0,3926,3,7.4,8621.0,100,Drama,Romance,
Some Came Running,1958,52218.0,10521,2,7.2,7395.0,137,Drama,Romance,
South Pacific,1958,52225.0,3977,3,6.8,9860.0,157,Musical,Romance,War
Teacher&#39;s Pet,1958,52278.0,1364,1,7.1,4865.0,120,Comedy,Romance,
Touch of Evil,1958,52311.0,3146,1,8.0,109995.0,95,Crime,Drama,Film-Noir
Vertigo,1958,52357.0,609,1,8.3,428307.0,128,Mystery,Romance,Thriller
"Vikings, The",1958,52365.0,1255,2,7.0,15774.0,116,Action,Adventure,History
"Wild Women of Wongo, The",1958,52394.0,2585,3,2.3,1395.0,72,Adventure,Comedy,
"400 Blows, The",1959,53198.0,236,0,8.1,128363.0,99,Crime,Drama,
A Bucket of Blood,1959,52655.0,4065,2,6.7,7980.0,66,Comedy,Crime,Horror
Anatomy of a Murder,1959,52561.0,4199,1,8.0,71689.0,161,Drama,Mystery,
Apur Sansar,1959,52572.0,6833,0,8.4,16810.0,105,Drama,,
Araya,1959,51372.0,3119,3,7.6,847.0,90,Documentary,,
Babette Goes to War,1959,52595.0,10782,3,6.2,453.0,106,Comedy,War,
Ballada o soldate,1959,52600.0,10966,1,8.2,11324.0,88,Drama,Romance,War
"Bat, The",1959,52602.0,4523,3,6.0,6228.0,80,Horror,Mystery,Thriller
Battle in Outer Space,1959,53388.0,6645,1,5.7,1557.0,90,Action,Sci-Fi,
Ben-Hur,1959,52618.0,1419,3,8.1,254240.0,212,Adventure,Drama,
"Bridge, The",1959,52654.0,9379,3,8.0,8687.0,103,Drama,History,War
Come Dance with Me!,1959,53428.0,3442,3,6.3,738.0,91,Crime,Drama,Mystery
Darby O&#39;Gill and the Little People,1959,52722.0,1591,3,7.1,9394.0,93,Adventure,Family,Fantasy
Ghost of Dragstrip Hollow,1959,52844.0,4050,3,4.7,749.0,65,Comedy,Horror,
"Giant Gila Monster, The",1959,52846.0,2796,3,3.7,4350.0,74,Horror,Sci-Fi,Thriller
Gidget,1959,52847.0,6405,3,6.6,3835.0,95,Comedy,Drama,Romance
Good Morning (Ohay&ocirc;),1959,53134.0,3525,3,7.8,11102.0,94,Comedy,Drama,Family
"Great War, The",1959,52861.0,3608,1,8.1,4619.0,137,Comedy,Drama,War
House on Haunted Hill,1959,51744.0,4373,3,6.7,30902.0,75,Crime,Horror,Mystery
Imitation of Life,1959,52918.0,2095,3,7.8,18295.0,125,Drama,,
Journey to the Center of the Earth,1959,52948.0,1256,1,7.0,19645.0,129,Adventure,Family,Fantasy
Night of the Ghouls,1959,156843.0,9169,1,3.6,2666.0,69,Horror,,
North By Northwest,1959,53125.0,2228,1,8.3,347027.0,136,Action,Adventure,Mystery
"Nun&#39;s Story, The",1959,53131.0,1555,3,7.5,11752.0,149,Drama,,
Pillow Talk,1959,53172.0,8392,3,7.4,19279.0,102,Comedy,Romance,
Plan 9 from Outer Space,1959,52077.0,9161,1,3.9,40550.0,79,Horror,Sci-Fi,
Ride Lonesome,1959,53220.0,11186,0,7.1,6633.0,73,Western,,
Rio Bravo,1959,53221.0,6901,1,8.0,68291.0,141,Western,,
Sleeping Beauty,1959,53285.0,474,3,7.2,161297.0,75,Adventure,Animation,Family
Sleeping Beauty,1959,53285.0,9209,3,7.2,161297.0,75,Adventure,Animation,Family
Some Like It Hot,1959,53291.0,2023,3,8.2,284216.0,121,Comedy,Music,Romance
"Suddenly, Last Summer",1959,53318.0,2645,3,7.5,17283.0,114,Drama,Mystery,Thriller
"Tingler, The",1959,53363.0,3166,1,6.6,9498.0,82,Horror,Sci-Fi,
"Wasp Woman, The",1959,54462.0,4392,3,4.8,5517.0,63,Horror,Sci-Fi,
"World, The Flesh and The Devil, The",1959,53454.0,8677,0,6.8,3563.0,95,Drama,Romance,Sci-Fi
A bout de souffle,1960,53472.0,799,0,7.7,88163.0,90,Crime,Drama,
"Apartment, The",1960,53604.0,1995,3,8.3,197509.0,125,Comedy,Drama,Romance
"Bad Sleep Well, The",1960,54460.0,9894,1,8.0,14084.0,151,Crime,Drama,Thriller
Black Sunday,1960,54067.0,3286,3,7.1,17666.0,87,Horror,,
Body in the Web,1960,54333.0,2950,3,2.7,4222.0,77,Horror,,
"Brides of Dracula, The",1960,53677.0,8275,3,6.6,8902.0,85,Horror,,
"City of the Dead, The",1960,53719.0,3634,3,6.7,8553.0,76,Horror,Mystery,Thriller
Conspiracy of Hearts,1960,53732.0,8992,3,7.1,562.0,113,Drama,War,
Exodus,1960,53804.0,2144,3,6.7,11439.0,208,Action,Drama,War
First Spaceship on Venus,1960,53250.0,9207,1,4.6,3157.0,79,Sci-Fi,,
Flaming Star,1960,53825.0,10762,1,6.5,4091.0,101,Drama,Western,
G.I. Blues,1960,53848.0,10761,2,6.2,4481.0,104,Comedy,Musical,
Heller in Pink Tights,1960,53902.0,10855,2,5.9,1519.0,100,Western,,
Inherit the Wind,1960,53946.0,1712,3,8.1,32889.0,128,Biography,Drama,History
Jigoku (Hell or The Sinners of Hell),1960,154683.0,3328,3,6.8,4588.0,101,Crime,Drama,Horror
L&#39;avventura,1960,53619.0,10351,3,7.7,32724.0,144,Drama,Mystery,Romance
La Dolce Vita,1960,53779.0,6080,2,8.0,78390.0,174,Comedy,Drama,
La ciociara,1960,54749.0,6756,3,7.7,12470.0,101,Drama,War,
Last Woman on Earth,1960,54017.0,10170,0,4.7,2174.0,71,Drama,Horror,Mystery
Late Autumn,1960,53579.0,2808,3,7.9,6200.0,128,Comedy,Drama,
Le Trou,1960,54407.0,6854,0,8.5,20474.0,131,Crime,Drama,Thriller
Les Bonnes Femmes,1960,53666.0,9992,3,7.2,3191.0,100,Drama,Mystery,Romance
Les yeux sans visage,1960,53459.0,656,3,7.6,35281.0,90,Drama,Horror,
Let&#39;s Make Love,1960,54022.0,2546,2,6.4,8048.0,119,Comedy,Musical,Romance
"Magnificent Seven, The",1960,54047.0,1295,0,7.7,102793.0,128,Action,Adventure,Drama
Make Mine Mink,1960,54049.0,4117,3,7.0,1132.0,100,Comedy,,
Nerve on Sunday,1960,54198.0,9026,2,7.3,6168.0,97,Comedy,Drama,Romance
Peeping Tom,1960,54167.0,6796,2,7.6,39463.0,101,Drama,Horror,Thriller
Psycho,1960,54215.0,2039,3,8.5,720416.0,109,Horror,Mystery,Thriller
Rocco and His Brothers,1960,54248.0,2988,2,8.2,21265.0,179,Crime,Drama,Sport
School for Scoundrels,1960,54279.0,8566,1,7.3,3926.0,94,Comedy,,
Shoot the Piano Player,1960,54389.0,8367,2,7.4,20681.0,92,Crime,Drama,Thriller
Spartacus,1960,54331.0,1273,2,7.9,143552.0,197,Adventure,Biography,Drama
"Story of Ruth, The",1960,54343.0,5123,3,6.6,1457.0,132,Drama,History,Romance
Testament of Orpheus,1960,54377.0,3294,1,7.2,3759.0,79,Biography,Fantasy,
"Time Machine, The",1960,54387.0,9338,0,7.5,44977.0,103,Adventure,Romance,Sci-Fi
"Truth, The",1960,54452.0,5122,3,7.6,4485.0,127,Drama,,
"Virgin Spring, The",1960,53976.0,5380,3,8.0,31720.0,89,Drama,,
Where the Boys Are,1960,54469.0,590,2,6.6,3109.0,99,Comedy,Drama,Romance
Wild River,1960,54476.0,6146,3,7.5,6197.0,110,Drama,History,Romance
"World of Suzie Wong, The",1960,54483.0,10449,2,6.9,2765.0,126,Drama,Romance,
Zazie dans le metro,1960,54494.0,3827,3,6.9,6769.0,93,Comedy,Fantasy,
A Raisin in the Sun,1961,55353.0,5485,3,8.0,9605.0,128,Drama,,
A Taste of Honey,1961,55506.0,4539,3,7.4,6386.0,101,Drama,,
A Woman Is a Woman,1961,55572.0,6539,0,7.3,19226.0,84,Comedy,Drama,Romance
Accattone,1961,54599.0,7831,3,7.6,10187.0,117,Drama,,
"Beast of Yucca Flats, The",1961,54673.0,2797,0,1.9,10438.0,54,Horror,Sci-Fi,
Blue Hawaii,1961,54692.0,3724,3,6.1,7546.0,102,Comedy,Musical,
Breakfast at Tiffany&#39;s,1961,54698.0,1191,2,7.6,192613.0,115,Comedy,Drama,Romance
"Children&#39;s Hour, The",1961,54743.0,833,3,7.8,18486.0,108,Drama,Romance,
"Curse of the Werewolf, The",1961,54777.0,7344,3,6.5,6865.0,93,Horror,,
El Cid,1961,54847.0,1546,1,7.2,15785.0,182,Biography,Drama,History
Flame in the Streets,1961,54879.0,8676,3,6.6,417.0,93,Drama,,
Flower Drum Song,1961,54885.0,10493,2,6.9,3723.0,133,Comedy,Musical,Romance
Girl with a suitcase,1961,54225.0,11141,1,7.5,2472.0,96,Drama,Romance,
Girls of the Night,1961,203040.0,10919,3,7.3,310.0,93,Drama,,
"Guns of Navarone, The",1961,54953.0,6653,1,7.5,55580.0,158,Action,Adventure,Drama
"Hustler, The",1961,54997.0,1958,0,8.0,86948.0,134,Drama,Sport,
"Innocents, The",1961,55018.0,8019,3,7.8,33150.0,100,Horror,,
King of Kings,1961,55047.0,9607,3,7.0,9055.0,168,Biography,Drama,
La Notte,1961,54130.0,6102,3,7.9,24132.0,122,Drama,,
"Leon Morin, Priest",1961,55082.0,7798,3,7.5,5705.0,117,Drama,Romance,War
Lola,1961,55093.0,9268,2,7.5,7559.0,90,Drama,Romance,
"Misfits, The",1961,55184.0,1365,3,7.2,23495.0,125,Drama,Romance,Western
Mothra,1961,55198.0,6448,0,6.5,5331.0,101,Adventure,Fantasy,Sci-Fi
Mysterious Island,1961,55207.0,1257,0,6.7,8573.0,101,Adventure,Family,Fantasy
One Hundred and One Dalmatians,1961,55254.0,1171,3,7.3,182713.0,79,Adventure,Animation,Comedy
"One, Two, Three",1961,55256.0,2392,3,7.9,23060.0,104,Comedy,,
"Parent Trap, The",1961,55277.0,4580,3,7.2,24063.0,129,Comedy,Family,Romance
Paris Blues,1961,55278.0,3909,3,6.7,3977.0,98,Drama,Music,Romance
"Phantom Planet, The",1961,55294.0,1292,0,3.8,3340.0,82,Action,Adventure,Sci-Fi
"Please, Not Now!",1961,54700.0,10476,3,5.5,543.0,85,Comedy,Romance,
Snow White and the Three Stooges,1961,55458.0,5797,3,5.2,1189.0,107,Adventure,Comedy,Family
Splendor in the Grass,1961,55471.0,4198,3,7.7,22684.0,124,Drama,Romance,
Through a Glass Darkly,1961,55499.0,7968,0,7.9,27448.0,90,Drama,,
Underworld U.S.A.,1961,55571.0,1165,3,7.3,3946.0,99,Crime,Drama,Thriller
Victim,1961,55597.0,11286,1,7.7,7234.0,100,Drama,,
West Side Story,1961,55614.0,2560,3,7.6,121449.0,153,Crime,Drama,Musical
Why Bother to Knock,1961,55621.0,10670,2,5.1,244.0,89,Comedy,,
Wild in the Country,1961,55623.0,10766,3,6.3,2095.0,114,Drama,Musical,
Yojimbo,1961,55630.0,660,1,8.2,131716.0,110,Action,Drama,Thriller
Adieu Philippine,1962,143088.0,10928,3,7.0,1030.0,106,Drama,Romance,
Advise &amp; Consent,1962,55728.0,7159,3,7.7,7530.0,139,Drama,Thriller,
Atraco a las tres,1962,55763.0,7588,1,7.4,1353.0,92,Comedy,,
Boccaccio &acute;70,1962,55805.0,7120,2,7.0,5063.0,205,Comedy,Fantasy,Romance
"Brain That Wouldn&#39;t Die, The",1962,52646.0,2762,2,4.5,7592.0,82,Horror,Sci-Fi,
Carnival of Souls,1962,55830.0,2591,3,7.0,27919.0,78,Horror,Mystery,
Cartouche,1962,55832.0,7440,1,6.5,2955.0,114,Action,Adventure,Comedy
Cleo from 5 to 7,1962,55852.0,2609,3,7.8,27468.0,90,Comedy,Drama,Music
"Day of the Triffids, The",1962,55894.0,1613,3,6.1,8964.0,93,Horror,Sci-Fi,
"Devil&#39;s Hand, The",1962,55902.0,4407,2,4.6,1429.0,71,Horror,,
Dr. No,1962,55928.0,4637,1,7.2,179792.0,110,Action,Adventure,Thriller
"Exterminating Angel, The",1962,56732.0,10522,3,8.0,35639.0,95,Drama,Fantasy,
Follow That Dream,1962,55992.0,10765,3,6.5,3009.0,109,Comedy,Musical,Romance
Girls! Girls! Girls!,1962,56023.0,10794,2,5.6,3640.0,106,Comedy,Musical,
Gypsy,1962,56048.0,3079,3,7.1,7036.0,143,Biography,Comedy,Drama
Hara-Kiri,1962,56058.0,9818,0,8.6,69226.0,133,Action,Drama,Mystery
Hatari!,1962,56059.0,6332,3,7.1,14321.0,157,Action,Adventure,Comedy
Ivanovo detstvo,1962,56111.0,691,1,8.0,40037.0,95,Drama,War,
Jules and Jim,1962,55032.0,237,1,7.7,44525.0,105,Drama,Romance,
Kid Galahad,1962,56138.0,10777,1,6.1,3121.0,96,Drama,Musical,Sport
King Kong vs. Godzilla,1962,56142.0,6119,3,5.7,11287.0,91,Action,Adventure,Fantasy
L&#39;eclisse,1962,56736.0,10349,3,7.7,22160.0,126,Drama,Romance,
"L-Shaped Room, The",1962,57239.0,3829,3,7.3,2236.0,126,Drama,Romance,
Lawrence of Arabia,1962,56172.0,1042,0,8.3,315230.0,218,Adventure,Biography,Drama
Les dimanches de Ville d&#39;Avray,1962,55910.0,4481,3,7.8,4813.0,111,Drama,,
Lolita,1962,56193.0,1279,3,7.5,109066.0,153,Crime,Drama,Romance
"Loneliness of the Long Distance Runner, The",1962,56194.0,6516,3,7.5,9406.0,104,Drama,Sport,
"Longest Day, The",1962,56197.0,9106,0,7.7,59170.0,178,Action,Drama,History
Love on a Pillow,1962,56404.0,10533,3,5.5,732.0,102,Drama,Romance,
"Manchurian Candidate, The",1962,56218.0,1954,1,7.9,80022.0,126,Drama,Thriller,
"Miracle Worker, The",1962,56241.0,5686,3,8.1,20569.0,106,Biography,Drama,
"Music Man, The",1962,56262.0,2430,3,7.7,19214.0,151,Comedy,Family,Musical
Only Two Can Play,1962,56308.0,10576,3,6.6,1419.0,106,Comedy,Drama,
That Touch of Mink,1962,56575.0,4513,2,6.6,10907.0,99,Comedy,Romance,
To Kill a Mockingbird,1962,56592.0,1108,3,8.3,333540.0,129,Crime,Drama,
"Treasure of the Silver Lake, The",1962,56452.0,9690,1,6.8,3635.0,82,Adventure,Drama,Western
"Trial of Joan of Arc, The",1962,59616.0,3160,0,7.4,5992.0,64,Biography,Drama,History
"Trial, The",1962,57427.0,2183,1,7.6,24121.0,119,Drama,Mystery,Thriller
Vivre Sa Vie,1962,56663.0,8849,3,7.8,35127.0,85,Drama,,
Walk on the Wild Side,1962,56671.0,8673,3,6.7,2957.0,114,Drama,Romance,
War of the Buttons,1962,54949.0,7312,0,7.4,2838.0,90,Comedy,Family,
What Ever Happened to Baby Jane?,1962,56687.0,1298,3,8.0,62138.0,134,Drama,Horror,Thriller
